MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,RECOVERY,ACTIVE,NOTES
Hook Punch to Spinning Back Blow,"1+2, 1","high, high",1.5,0,-,-,NO,NC,-,"16 [19], 12",i14,-3,+8,-,FLOAT,-20,"1, 2",-
-,"(1+2), 1",high,2.5,0.25,-,-,-,-,-,12 [14],i26,-3,+8,+8,FLOAT,-20,2,-
-,"b+4, B",low,1.75,0,-,-,-,-,-,17 [20],i23,-6,+5,+9,-,-24,1,-
-,"FC d/f+2, 1","low, low",2,0.25,-,high,NO,NCc,-,"10 [12], 10",i18,-13,0,-,FLOAT,-28,"2, 2",-
-,"FC (d/f+2), 1",low,1,0.5,SWL / SWR,high,-,-,-,10 [12],i16,-13,0,0,FLOAT,-28,2,-
Falling Blade,SS 3+4,mid,3,0,-,-,-,-,-,15 [18],i24,-4,+1,+1,FLOOR BREAK,-26,3,-
-,"DRU 2, B (or SS 2, B)",mid,1.75,0.25,-,-,-,-,-,12 [14],i18,+1 (OC),-1 (OC),STUN,FLOAT,-29,2,-
Phoenix Sunder,"PHX 3, 3","high, low",1.5,-,-,-,NO,NCc,-,"28 [33], 17",i14,-13,KND,-,S!,-31,"1, 1",-
-,"PHX (3), 3",low,1.5,-,-,-,-,-,-,17 [20],i31,-13,KND,KND,FLOAT,-31,1,-
-,PHX b+4,mid,3.5,2,-,low,-,-,-,25 [30],i39,+4 (OC),+7 (OC),+7 (OC),FLOOR BREAK,-25,5,-
-,"PHX b+4, 4","mid, mid",2.5,2,-,low,YES,NO,-,"25 [30], 21",i39,+3 (OC),+6 (OC),-,FLOOR BREAK,-25,"5, 5",-
-,"PHX (b+4), 4",mid,2.5,2.5,-,low,-,-,-,21 [25],i29,+3 (OC),+6 (OC),+6 (OC),FLOOR BREAK,-25,5,-
Tornado Kick,"PHX b+4, 4, 4","mid, mid, mid",3.5,2,-,low,NO,NO,-,"25 [30], 21, 17",i39,+3 (OC),+6 (OC),-,FLOOR BREAK,-25,"5, 5, 5",-
-,"PHX (b+4), 4, 4","mid, mid",2.5,2,-,low,NO,NO,-,21 [25]. 17,i29,+3 (OC),+6 (OC),-,FLOOR BREAK,-25,"5, 5",-
-,"PHX (b+4), (4), 4",mid,2.5,2.5,-,low,-,-,-,17 [20],i29,+3 (OC),+6 (OC),+6 (OC),FLOOR BREAK,-25,5,-
STAY BACK TURNED,,,,,,,,,,,,,,,,,,
-,BT 1,high,1.5,0.5,-,-,-,-,-,12 [14],i16,-5,+6,+6,FLOAT,-23,1,-
-,"BT 1, 1","high, mid",1.5,0.5,-,-,NO,YES,-,"12 [14], 10",i16,-7,+4,-,FLOAT,-25,"1, 1",-
-,"BT (1), 1",mid,1,1,-,high,-,-,-,10 [12],i20,-7,+4,+4,FLOAT,-25,1,-
-,BT 1+2,mid,1.5,0,-,-,-,-,-,12 [14],i10,-6,+5,+5,FLOAT,-22,3,-
-,"BT 4, B",mid,2,1.5,-,-,-,-,-,15 [18],i14,-7,+4,+4,FLOAT,-25,1,-
-,BT 3+4,mid,1.5,0.75,-,-,-,-,-,15 [18],i32,-4,KND,KND,FLOOR BREAK,-19,4,-
-,"BT 3+4, 3+4","mid, mid",1.5,0.75,-,-,NO,-,-,"15 [18], 15",i32,-9,KND,-,FLOOR BREAK,-24,"4, 4",-
-,"BT (3+4), 3+4",mid,1.5,0.75,-,-,-,-,-,15 [18],i37,-9,KND,KND,FLOOR BREAK,-24,4,-
Flit Flip Flop,"BT 3+4, 3+4, 3+4","mid, mid, mid",1.5,0.75,-,-,NO,-,-,"15 [18], 15, 15",i32,-9,KND,-,FLOOR BREAK,-24,"4, 4, 4",-
-,"BT (3+4), 3+4, 3+4","mid, mid",1.5,0.75,-,-,NO,-,-,"15 [18], 15",i37,-9,KND,-,FLOOR BREAK,-24,"4, 4",-
-,"BT (3+4), (3+4), 3+4",mid,1.5,0.75,-,-,-,-,-,15 [18],i37,-9,KND,KND,FLOOR BREAK,-24,4,-
Low Back Spin,BT d+1,low,1,0,SWL / SWR,high,-,-,-,12 [14],i12,-6,+5,LAUNCH,-,-22,3,-
EXIT BACK TURNED,,,,,,,,,,,,,,,,,,
-,"BT 1, 1, 3","high, mid, low",1.5,0,-,-,NO,NO,-,"12 [14], 10, 7",i16,-18,-7,-,FLOAT,-36,"1, 1, 1",-
-,"BT (1), 1, 3","mid, low",1,0,-,-,NO,NC,-,"10 [12], 7",i20,-18,-7,-,FLOAT,-36,"1, 1",-
-,"BT (1), (1), 3",low,1,0,SSL / SSR,-,-,-,-,7 [8],i20,-18,-7,-7,FLOAT,-36,1,-
Dancing Spear,"BT 1, 1, 3, 2","high, mid, low, high",1.5,0.25,-,-,NO,NO,-,"12 [14], 10, 7, 16",i16,-17,KND,-,FLOAT,-35,"1, 1, 1, 1",-
-,"BT (1), 1, 3, 2","mid, low, high",1,0.25,-,-,NO,NCc,-,"10 [12], 7, 16",i20,-17,KND,-,FLOAT,-35,"1, 1, 1",-
-,"BT (1), (1), 3, 2","low, high",1,0.25,-,-,NO,NCc,-,"7 [8], 16",i20,-17,KND,-,FLOAT,-35,"1, 1",-
-,"BT (1), (1), (3), 2",high,0.5,0.25,-,-,-,-,-,16 [19],i11,-17,KND,KND,FLOAT,-35,1,-
Spinning Heavy Hand,BT 2,mid,1.5,0.25,HOMING,-,-,-,WALL BREAK / SPLAT,20 [24],i20,-10,+11,STUN,S!,-32,2,-
-,BT 3,high,1.5,1.5,-,-,-,-,WALL BREAK / SPLAT,18 [21],i10,-8,KND,KND,FLOAT,-26,1,-
-,BT 4,mid,2,1.5,-,-,-,-,-,15 [18],i14,-14,-3,-3,FLOAT,-32,1,-
Reverse Maul Strike,"BT 4, 1","mid, high",2,0.25,-,-,NO,NCc,WALL BREAK / SPLAT,"15 [18], 21",i14,-8,S!,-,S!,-31,"1, 2",-
-,"BT (4), 1",high,2,0.5,SSL,-,-,-,WALL BREAK / SPLAT,21 [25],i25,-8,S!,S!,S!,-31,2,-
Reverse Double Kick,"BT 4, 3","mid, mid",2,1,-,-,NO,NCc,WALL SPLAT,"15 [18], 17",i14,-15,LAUNCH,-,BACK FLIP,-35,"1, 2",-
-,"BT (4), 3",mid,1.5,1,SSL / SSR,"high, mid",-,-,WALL SPLAT,17 [20],i23,-15,LAUNCH,LAUNCH,BACK FLIP,-35,2,-
Reverse Watermill,"BT 4, 4","mid, mid",2,0.5,-,-,NO,NO,-,"15 [18], 20",i14,-3,+1 (OC),-,FLOOR BREAK,-29,"1, 4",-
-,"BT (4), 4",mid,2,0.5,-,low,-,-,-,20 [24],i37,-3,+1 (OC),LAUNCH,FLOOR BREAK,-29,4,-
-,"BT 3+4, F",mid,1.5,0.75,-,-,-,-,-,15 [18],i32,-12,KND,KND,FLOOR BREAK,-27,4,-
-,"BT 3+4, 3+4, F","mid, mid",1.5,0.75,-,-,NO,NO,-,"15 [18], 15",i32,-12,KND,-,FLOOR BREAK,-27,"4, 4",-
Flit Flip Flop,"BT 3+4, 3+4, 3+4, F","mid, mid, mid",1.5,0.75,-,-,NO,NO,-,"15 [18], 15, 15",i32,+16,KND,-,FLOOR BREAK,-32,"4, 4, 4",-
-,BT d+4 (clean hit),low,2,0.25,SSL / SWR,"high, mid",-,-,-,12 [14],i20,-26,LAUNCH,LAUNCH,FLOAT,-32,2,-
-,BT d+4 (far),low,2,0.25,SSL / SWR,"high, mid",-,-,-,8 [9],i20,-26,+2,+2,FLOAT,-32,2,-
Reverse Double Slicer,"BT d+4, 4","low, high",2,0.25,-,-,NO,NC,WALL BREAK / SPLAT,"8 [9], 21",i20,-26,KND,-,TAIL SPIN,-31,"2, 6",-
-,"BT (d+4), 4",high,2,0,-,-,-,-,WALL BREAK / SPLAT,30 [36],i31,-10,KND,KND,TAIL SPIN,-31,6,-
INTO CRANE,,,,,,,,,,,,,,,,,,
Five Gates Form - Crane,"3+4, 4",-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-
Hopping Crane Kick,u/f+3,mid,1.5,1,-,low,-,-,-,23 [27],i16,-5,+8,LAUNCH,FLOAT,-13,1,-
Razor Rush Mid Kick Crane,"f, n, 1, 2, 1, 2, 4, u (or d)",-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-
Beating Kick Mid Combo Crane,"f+4, 2, 1, 2, 4, u (or d)",-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-
Turbulent Winds,"f, F+4, 3+4, F","high, high",1.5,1,-,low,-,-,-,"21 [25], 21",i15,-28,-17,-17,FLOAT,-37,5,-
Scythe Kick,"u/b+4, F",mid,1,3,-,-,-,-,-,20 [24],i15,-28,KND,KND,BACK FLIP,-34,1,-
-,"DRU 3, 2, 4, F","low, mid, mid",1.5,3,-,-,NO,NO,-,"13 [15], 20, 12",i17,-28,KND,-,FLOOR BREAK,-34,"1, 2, 1",-
DURING CRANE,,,,,,,,,,,,,,,,,,
Crane's Bill,CRA 1,mid,2.5,1.5,-,-,-,-,WALL BREAK / SPLAT,23 [27],i22,-,KND,KND,FLOAT,-29,2,-
Spinning Crane Swipe,CRA 2,high,2.5,0.5,HOMING,-,-,-,WALL BREAK / SPLAT,21 [25],i16,-9,+10,S!,S!,-31,2,-
-,CRA 3,mid,2,0,-,-,-,-,-,21 [25],i14,-5,+6,+6,FLOAT,-22,2,-
-,"CRA 3, 4","mid, low",2,0.5,-,-,NO,YES,-,"21 [25], 10",i14,-13,0,-,FLOAT,-28,"2, 2",-
-,"CRA (3), 4",low,1,0.5,SSL / SSR,-,-,-,-,10 [12],i25,-13,0,0,FLOAT,-28,2,-
-,"CRA 3, 4, 2","mid, low, mid",2,0.5,-,-,NO,YES,-,"21 [25], 10, 10",i14,-16,-5,-,FLOAT,-33,"2, 2, 2",-
-,"CRA (3), 4, 2","low, mid",1,0.75,-,-,NO,YES,-,"10 [12], 10",i25,-16,-5,-,FLOAT,-33,"2, 2",-
-,"CRA (3), (4), 2",mid,1.5,0.5,SSR,-,-,-,-,10 [12],i17,-16,-5,-5,FLOAT,-33,2,-
Crane Dance,"CRA 3, 4, 2, 3","mid, low, mid, mid",2,0.25,-,-,NO,NO,WALL SPLAT,"21 [25], 10, 10, 15",i14,-12,LAUNCH,-,BACK FLIP,-28,"2, 2, 2, 3",-
-,"CRA (3), 4, 2, 3","low, mid, mid",1,0.5,-,-,NO,NO,WALL SPLAT,"10 [12], 10, 15",i25,-12,LAUNCH,-,BACK FLIP,-28,"2, 2, 3",-
-,"CRA (3), (4), 2, 3","mid, mid",1.5,0.5,-,-,YES,NCc,WALL SPLAT,"10 [12], 15",i17,-12,LAUNCH,-,BACK FLIP,-28,"2, 3",-
-,"CRA (3), (4), (2), 3",mid,1.5,0.5,-,-,-,-,WALL SPLAT,15 [18],i16,-12,LAUNCH,LAUNCH,BACK FLIP,-28,3,-
Crane Kick,CRA 4,low,2.5,1.5,SSR,-,-,-,-,20 [24],i21,-19,KND,KND,FLOAT,-37,1,-
Crane Smash,CRA 1+2,high,2,1.75,-,-,-,-,-,25 [30],i13,-2,STUN,STUN,FLOAT,-25,1,-
Leaping Crane,CRA u/f+4,mid,2,0.5,-,low,-,-,WALL SPLAT,21 [25],i17,-22,LAUNCH,LAUNCH,BACK FLIP,-23,3,-
INTO DRAGON,,,,,,,,,,,,,,,,,,
Five Gates Form - Dragon,"3+4, 1",-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-
Razor Rush Dragon,"f, n, 1, 2, u (or d)","mid, mid",2,1.5,-,-,YES,NC,-,"9 [10], 9",i12,-12,+1,+1,FLOAT,-28,"1, 1",-
-,"f, n, (1), 2, u (or d)",mid,0.75,2,-,-,-,-,-,9 [10],i12,-12,+1,+1,FLOAT,-28,1,-
-,"b+2, F",mid,1.5,0.25,-,high,-,-,-,15 [18],i17,-9,+2,+2,FLOAT,-27,1,-
Snake Palm Fist,"SS 1, U or D",high,2,0,-,-,-,-,-,21 [25],i16,-2,+9,+9,FLOAT,-25,1,-
DURING DRAGON,,,,,,,,,,,,,,,,,,
Dragon Neck Snap,DRG 1,high throw,1.5,-,-,-,-,-,-,35,i25,-,KND,KND,-,-41,1,-
Dragon Roar,DRG 2,mid,1.5,1.5,SSL,-,-,-,-,18 [21],i17,+4,KND,LAUNCH,FLOAT,-25,3,-
Cuju Kick,DRG 3,low,1.5,1,SSL / SWR,-,-,-,-,11 [13],i16,-15,+2,+2,FLOAT,-32,2,-
-,DRG 4,high,1.75,1.75,SWL / SWR,-,-,-,-,18 [21],i10,-11,0,0,FLOAT,-29,1,-
-,"DRG 4, 1","high, mid",1.75,0.5,-,-,NO,NC,-,"18 [21], 12",i10,-1,+5,-,FLOAT,-19,"1, 1",-
-,"DRG (4), 1",mid,1,1.5,SSR,-,-,-,-,12 [14],i23,-1,+5,+5,FLOAT,-19,1,-
-,"DRG 4, 1, 2","high, mid, mid",1.75,1,-,-,NO,NC,-,"18 [21], 12, 8",i10,-10,-4,-,FLOAT,-28,"1, 1, 1",-
-,"DRG (4), 1, 2","mid, mid",1,1.5,-,-,YES,NC,-,"12 [14], 8",i23,-10,-4,-,FLOAT,-28,"1, 1",-
-,"DRG (4), (1), 2",mid,1,1.5,-,-,-,-,-,8 [9],i10,-10,-4,-4,FLOAT,-28,1,-
-,"DRG 4, 1, 2, 2","high, mid, mid, mid",1.75,0.5,-,-,NO,NO,-,"18 [21], 12, 8, 10",i10,-12,-1,-,FLOAT,-30,"1, 1, 1, 1",-
-,"DRG (4), 1, 2, 2","mid, mid, mid",1,0.5,-,-,YES,NO,-,"12 [14], 8, 10",i23,-12,-1,-,FLOAT,-30,"1, 1, 1",-
-,"DRG (4), (1), 2, 2","mid, mid",1,0.5,-,-,YES,NO,-,"8 [9], 10",i10,-12,-1,-,FLOAT,-30,"1, 1",-
-,"DRG (4), (1), (2), 2",mid,1,1,SSL / SSR,-,-,-,-,10 [12],i16,-12,-1,-1,FLOAT,-30,1,-
Wolf Strike,"DRG 4, 1, 2, 2, 2","high, mid, mid, mid, low",1.75,0.5,-,-,NO,NO,-,"18 [21], 12, 8, 10, 15",i10,-17,-1,-,FLOAT,-35,"1, 1, 1, 1, 1",-
-,"DRG (4), 1, 2, 2, 2","mid, mid, mid, low",1,0.5,-,-,NO,NO,-,"12 [14], 8, 10, 15",i23,-17,-1,-,FLOAT,-35,"1, 1, 1, 1",-
-,"DRG (4), (1), 2, 2, 2","mid, mid, low",1,0.5,-,-,NO,NO,-,"8 [9], 10, 15",i10,-17,-1,-,FLOAT,-35,"1, 1, 1",-
-,"DRG (4), (1), (2), 2, 2","mid, low",1,0.5,-,-,NO,NCc,-,"10 [12], 15",i16,-17,-1,-,FLOAT,-35,"1, 1",-
-,"DRG (4), (1), (2), (2), 2",low,1,0.5,SSL / SSR,-,-,-,-,15 [18],i22,-17,-1,-1,FLOAT,-35,1,-
-,"DRG 4, 1, 2, 3","high, mid, mid, high",1.75,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"18 [21], 12, 8, 20",i10,-6,KND,-,TAIL SPIN,-43,"1, 1, 1, 2",-
-,"DRG (4), 1, 2, 3","mid, mid, high",1,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"12 [14], 8, 20",i23,-6,KND,-,TAIL SPIN,-43,"1, 1, 2",-
-,"DRG (4), (1), 2, 3","mid, high",1,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"8 [9], 20",i10,-6,KND,-,TAIL SPIN,-43,"1, 2",-
-,"DRG (4), (1), (2), 3",high,1,1.5,SSL / SSR,-,-,-,WALL BREAK / SPLAT,20 [24],i25,-6,KND,-,TAIL SPIN,-43,2,-
Rush Combo Mid Kick,"DRG 4, 1, 2, 3, 4","high, mid, mid, high, mid",1.75,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"18 [21], 12, 8, 20",i10,-7,KND,-,TAIL SPIN,-29,"1, 1, 1, 2, 1",-
-,"DRG (4), 1, 2, 3, 4","mid, mid, high, mid",1,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"12 [14], 8, 20",i23,-7,KND,-,TAIL SPIN,-29,"1, 1, 2, 1",-
-,"DRG (4), (1), 2, 3, 4","mid, high, mid",1,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"8 [9], 20",i10,-7,KND,-,TAIL SPIN,-29,"1, 2, 1",-
-,"DRG (4), (1), (2), 3, 4","high, mid",1,1.5,-,-,NO,NO,WALL BREAK / SPLAT,20 [24],i25,-7,KND,-,TAIL SPIN,-29,"2, 1",-
-,"DRG (4), (1), (2), (3), 4",mid,1.5,1.5,-,-,-,-,WALL BREAK / SPLAT,20 [24],i22,-7,KND,KND,TAIL SPIN,-29,1,-
Rush Combo Low Kick,"DRG 4, 1, 2, 3, d+4","high, mid, mid, high, low",1.75,1.5,-,-,NO,NO,-,"18 [21], 12, 8, 20",i10,-12,KND,-,TAIL SPIN,-30,"1, 1, 1, 2, 1",-
-,"DRG (4), 1, 2, 3, d+4","mid, mid, high, low",1,1.5,-,-,NO,NO,-,"12 [14], 8, 20",i23,-12,KND,-,TAIL SPIN,-30,"1, 1, 2, 1",-
-,"DRG (4), (1), 2, 3, d+4","mid, high, low",1,1.5,-,-,NO,NO,-,"8 [9], 20",i10,-12,KND,-,TAIL SPIN,-30,"1, 2, 1",-
-,"DRG (4), (1), (2), 3, d+4","high, low",1,1.5,-,-,NO,NO,-,20 [24],i25,-12,KND,-,TAIL SPIN,-30,"2, 1",-
-,"DRG (4), (1), (2), (3), d+4",low,2,2,SSL / SSR,high,-,-,-,20 [24],i22,-12,KND,KND,FLOAT,-30,1,-
Dragon's Spite,DRG 1+2,"high, high",2.5,0.5,SSL,-,-,-,-,"5 [6], 20",i18,-2,LAUNCH,LAUNCH,S!,-25,"2, 2",-
-,DRG 1+2 (second hit only),high,2.75,1,SSR,-,-,-,-,20 [24],-,-,-,-,S!,-25,2,-
Dragon Spark,DRG f+1+2,mid,2.5,2,SSL / SSR,-,-,-,WALL BREAK / SPLAT,32 [38],i17,-5,KND,KND,FLOAT,-30,1,-
INTO DRUNKEN MASTER WALK,,,,,,,,,,,,,,,,,,
Taunt 1,1+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taunt 2,2+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drunken Master Walk,f+3+4,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-
-,"2, 1, F","high, mid",1.5,1,-,-,YES,NC,-,"10 [12], 13",i10,-11,0,-,FLOAT,-24,"1, 1",-
-,"d+4, 4, F","low, mid",1.5,2,-,-,NO,NCc,-,"10 [12], 15",i12,-29,-16,-,FLOAT,-47,"1, 1",-
-,"d/b+4 (clean hit), F",low,1.75,0.25,-,"high, mid",-,-,-,12 [14],i20,-26,KND,KND,FLOAT,-24,2,-
-,"d/b+4 (far), F",low,1.75,0.25,-,"high, mid",-,-,-,8 [9],i20,-26,-,-,FLOAT,-24,2,-
Dancing Spear,"BT 1, 1, 3, 2, F","high, mid, low, high",1.5,0.25,-,-,NO,NO,-,"12 [14], 10, 7, 16",i16,-77,KND,-,FLOAT,-,-,-
-,"BT d+4 (clean hit), F",low,2,0.25,-,-,-,-,-,12 [14],i20,-32,STUN,STUN,FLOAT,-24,1,-
-,"BT d+4 (far), F",low,2,0.25,-,"high, mid",-,-,-,8 [9],i20,-32,+6,+6,FLOAT,-24,1,-
Startled Drunk,FCD or SLD 1+2,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-
-,"DRU 1, F",mid,2.5,2,-,-,-,-,WALL BREAK / SPLAT,25 [30],i18,-21,KND,KND,FLOAT,-27,3,-
-,"DRU 2, F (or SS 2, F)",mid,1.75,0.25,-,-,-,-,-,12 [14],i18,-42,-44,STUN,FLOAT,-,-,-
-,"DRU 2, 2, F (or SS 2, 2, F)","mid, high",1.75,1,-,-,NO,NC,-,"12 [14], 20",i18,+2,+2,+2,TAIL SPIN,-38,"2, 2",-
-,"DRU 3, F",low,1.5,0.5,-,-,-,-,-,13 [15],i17,-22,-9,-9,FLOAT,-30,1,-
-,"DRU 3, 2, F","low, mid",1.5,0.5,-,-,NO,NO,-,"13 [15], 20",i17,-8,-,KND,FLOOR BREAK,-39,"1, 1",-
-,"DRU 4, F",mid,1.5,1.5,-,-,-,-,WALL SPLAT,17 [20],i18,-18,-,KND,FLOAT,-31,1,-
-,"KND 3 (clean hit), F",low,1.5,0.25,-,"high, mid",-,-,-,12 [14],i20,-26,STUN,STUN,FLOAT,-24,1,-
-,"KND 3 (far), F",low,1.5,0.25,-,"high, mid",-,-,-,8 [9],i20,-26,-32,-32,FLOAT,-24,1,-
Startled Drunk,KND or PLD 1+2,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-
-,"PHX 1, F",high,2,2.5,-,-,-,-,WALL BREAK / SPLAT,24 [28],i30,-20,KND,KND,FLOAT,-28,1,-
Phoenix Illusion to Drunken Master Walk,PHX 1+2,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
-,PHX f,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-
DURING DRUNKEN MASTER WALK,,,,,,,,,,,,,,,,,,
-,DRU f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"DRU f, b",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,DRU b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drunken Tiger Lash,DRU 1,mid,2.5,2,-,-,-,-,-,25 [30],i18,-11,KND,KND,FLOAT,-27,3,-
-,DRU 2 (or SS 2),mid,1.75,0.25,-,-,-,-,-,12 [14],i18,-7 (OC),-9 (OC),STUN,FLOAT,-37,2,-
Drunken Rapid Fists,"DRU 2, 2 (or SS 2, 2)","mid, high",1.75,1,-,-,NO,NC,-,"12 [14], 20",i18,+5,+5,-,TAIL SPIN,-35,"2, 1",-
-,"DRU (2), 2 (or SS 2, 2)",high,1.75,1,-,-,-,-,-,20 [24],i15,+5,+5,+5,TAIL SPIN,-35,1,-
-,DRU 3,low,1.5,0.5,SSR,-,-,-,-,13 [15],i17,-19,+1,+1,FLOAT,-30,1,-
-,"DRU 3, 2","low, mid",1.5,0.5,-,-,NO,-,-,"13 [15], 20",i17,-1,STUN,-,FLOOR BREAK,-31,"1, 2",-
-,"DRU (3), 2",mid,2.5,0.5,-,-,-,-,-,20 [24],i25,-1,STUN,STUN,FLOOR BREAK,-31,2,-
Drunken Fox Combination,"DRU 3, 2, 4","low, mid, mid",1.5,3,-,-,NO,NC,-,"13 [15], 20, 12",i17,-21,KND,-,FLOOR BREAK,-24,"1, 2, 1, 3",-
-,"DRU (3), 2, 4","mid, mid",2.5,3,-,-,YES,NCc,-,"20 [24], 12",i25,-21,KND,-,FLOOR BREAK,-24,"2, 1, 3",-
-,"DRU (3), (2), 4",mid,1,3,SSL / SSR,-,-,-,-,18 [21],i25,-21,KND,KND,BACK FLIP,-24,"1, 3",-
Drunken Tiger Kick,DRU 4,mid,1.5,1.5,-,-,-,-,WALL SPLAT,17 [20],i18,-12,LAUNCH,LAUNCH,FLOAT,-35,1,-
-,DRU 1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"DRU 1+2, 1+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staggering Slide,DRU 3+4,low,1.75,0,SSL,-,-,-,-,23 [27],i29,-12,KND,KND,FLOAT,-29,2,-
Out of Control,DRU 1+3 (or 2+4),high throw,2.5,-,-,-,-,-,-,33,i15,0,KND,KND,-,-36,"2, 2",-
Spinning Headbutt,DRU b+1+2,mid,2.5,0,-,"high, low",-,-,-,25 [30],i33,-18,STUN,STUN,FLOAT,-31,11,-
Drunken Fake to Jab,"DRU u/b+1+2, 1",mid,2.5,2.5,-,high,-,-,WALL BREAK / SPLAT,25 [30],i23,-11,KND,KND,FLOAT,-28,2,-
INTO KAI SHE SHEN,,,,,,,,,,,,,,,,,,
She Juan Rui Ya,d/b+1,low,1.5,0,SSL,"high, mid",-,-,-,14 [16],i22,-54,-43,-39,FLOAT,-47,2,-
Kai She Shen,PLD 3+4,-,-,-,-,"high, mid",-,-,-,-,-,-,-,-,-,-,-,-
Leaping Tiger to Crouching Snake,"TGR 3, f+1","mid, mid",2,0.75,SWR,low,-,-,WALL BREAK / SPLAT,28 [33],i17,-10,KND,-,S!,-52,3,-
-,"TGR [3], f+1",mid,2,0.75,-,"high, mid",-,-,-,-,i21,-10,KND,KND,-,-52,3,-
INTO PANTHER,,,,,,,,,,,,,,,,,,
Five Gates Form - Panther,"3+4, 2",-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-
Razor Rush Panther,"f, n, 1, 2, 1, u (or d)","mid, mid, mid",2,0.5,-,-,NO,NCc,-,"9 [10], 9, 9",i12,-12,+1,-,FLOAT,-28,"1, 1, 1",-
-,"f, n, (1), 2, 1, u (or d)","mid, mid",0.75,1,-,-,NO,NCc,-,"9 [10], 9",i12,-12,+1,-,FLOAT,-28,"1, 1",-
-,"f, n, (1), (2), 1, u (or d)",mid,1,1,-,-,-,-,-,9 [10],i15,-12,+1,+1,FLOAT,-28,1,-
-,"f+1+2, F","high, high",1.75,2,-,-,-,-,-,"13 [15], 10",i16,-7,-2,-2,FLOAT,-25,"1, 1",-
DURING PANTHER,,,,,,,,,,,,,,,,,,
-,PAN 1,low,2.5,0.25,SWL / SWR,-,-,-,-,12 [14],i12,-12,+3,+3,TURN OVER,-29,2,-
Panther's Scratch,PAN 1~2,"low, high",2,1.75,-,-,-,-,WALL BREAK / SPLAT,"12 [14], 21",i6,-32,KND,KND,TAIL SPIN,-40,"2, 4",-
Panther's Paw,PAN 2,mid,2.5,0,SSL / SSR,-,-,-,WALL SPLAT,21 [25],i15,-10,LAUNCH,LAUNCH,TURN OVER,-27,2,-
Panther Pounce,PAN 3,low,2,0,SSL / SSR,-,-,-,-,18 [21],i20,-12,-1,+14,-,-29,2,-
-,PAN 4,high,2.5,0.5,SWR,-,-,-,-,26 [31],i23,-13,+2,LAUNCH,TAIL SPIN,-33,5,-
-,"PAN 4, 2","high, mid",2.5,1.5,-,-,NO,-,-,"26 [31], 12",i23,0,+6,-,TAIL SPIN,-18,"5, 1",-
-,"PAN (4), 2",mid,1.5,1.5,SSR,-,-,-,-,12 [14],i14,0,+6,+6,FLOAT,-18,1,-
-,"PAN 4, 2, 1","high, mid, mid",2.5,1.5,-,-,NO,NCc,-,"26 [31], 12, 12",i23,-12,-1,-,TAIL SPIN,-30,"5, 1, 1",-
-,"PAN (4), 2, 1","mid, mid",1.5,1.75,-,-,YES,NC,-,"12 [14], 12",i14,-12,-1,-,FLOAT,-30,"1, 1",-
-,"PAN (4), (2), 1",mid,0.5,1.25,-,-,-,-,-,12 [14],i9,-12,-1,-,FLOAT,-30,1,-
-,"PAN 4, 2, 1, 2","high, mid, mid, mid",2.5,1,-,-,NO,NCc,-,"26 [31], 12, 12, 8",i23,-12,-1,-,TAIL SPIN,-30,"5, 1, 1, 1",-
-,"PAN (4), 2, 1, 2","mid, mid, mid",1.5,0.25,-,-,YES,NO,-,"12 [14], 12, 8",i14,-12,-1,-,FLOAT,-30,"1, 1, 1",-
-,"PAN (4), (2), 1, 2","mid, mid",0.5,0.25,-,-,YES,NCc,-,"12 [14], 8",i9,-12,-1,-,FLOAT,-30,"1, 1",-
-,"PAN (4), (2), (1), 2",mid,0.5,1.5,SSL,-,-,-,-,8 [9],i15,-12,-1,-1,FLOAT,-30,1,-
