MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON CROUCHING,ON WHIFF,ACTIVE,NOTES
Spring Attack*,"Face Up, Feet Towards+3+4",mid,1,0,-,-,-,-,WALL BREAK / SPLAT,20 (24),i16,-11,KND,KND,FLOAT,-,-26,15,-
Flying Cross Chop*,"Face Up, Feet Towards, Roll Forward+1+2",mid,4,0,-,-,-,-,WALL BREAK / SPLAT,15 (18),i19,+2,KND,KND,FLOAT,-,-42,6,-
*,"Face Down, Feet Away+3",low,1,1,SSL / SSR,high,-,-,-,10 (12),i21,-20,+1,LAUNCH,FLOAT,-,-35,1,-
*,"Face Down, Feet Away+4",mid,1,1.75,-,-,-,-,WALL SPLAT,10 (12),i21,-19,-10,KND,FLOAT,-,-37,1,-
Handspring Kickup,(Upon Landing) f,mid,0,0,-,low,-,-,-,4,i33,-2,+6,+6,FLOAT,-,-13,4,-
10 Hit Combo 1,"1, 3, 1, 2, 1, 1, 4, 1, 3, 2",-,1.5,-,-,-,NO,NO,WALL BREAK / SPLAT,107,i10,-,KND,KND,-,-,-,-,-
10 Hit Combo 2,"1, 3, 1, 2, 4, 1+2",-,1.5,-,-,-,NO,NO,WALL BREAK / SPLAT,74,i10,-,KND,KND,-,-,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,,
Bloodhound Strike,1+2,mid,1.5,0.5,SWR,-,-,-,WALL BREAK / SPLAT,25 (30),i21,-12,KND,KND,FLOOR BREAK,-,-29,2,-
RAGE MOVES,,,,,,,,,,,,,,,,,,,
Rage Art,d+1+2,mid,2,0.25,SWL / SWR,-,-,-,-,55 (57),i24,-22,KND,KND,ACTIVATE,-,-44,2,-
Rage Drive,"f, f, f+1+2 (or WR 2)",mid,1.5,0.25,-,-,-,-,WALL BREAK / SPLAT,30 (36),i15,+5 (OC),GROUND BOUNCE,GROUND BOUNCE,KND,-,-37,2,-
Rage Drive,"(f, f, f+1+2), d/b+1+2",mid throw,-,-,SSL / SSR,-,-,-,-,5,i60,!,KND,KND,-,-,-31,1,-
*,"f, f, f+1+2, d/b+1+2, 1+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-32,-,-
UNBLOCKABLE MOVES,,,,,,,,,,,,,,,,,,,
Sub Zero,b+2+3,mid,2,-,-,-,-,-,WALL BREAK / SPLAT,60 (72),i63,!,KND,KND,-,-,-45,2,-
THROWS,,,,,,,,,,,,,,,,,,,
Volk Clutch,1+3,high throw,1.5,-,-,-,-,-,-,35,i12,0,KND,-,-,-,-24,3,1 BREAK
Purge Slam,2+4,high throw,1.5,-,-,-,-,-,-,35,i12,0,KND,-,-,-,-24,3,2 BREAK
Scorpion Scissors,u/f+3+4,high throw,1.5,-,-,low,-,-,-,42,i38,-,KND,-,-,-,-29,2,-
Volk Clutch,f+1+3,high throw,2,-,-,-,-,-,-,35,i15,0,KND,-,-,-,-32,3,1 BREAK
Reverse Victor Clutch,f+1+4,high throw,1.5,-,-,-,-,-,-,35,i11,-2,KND,-,-,-,-32,3,1 BREAK
Victor Clutch,f+2+3,high throw,1.5,-,-,-,-,-,-,40,i11,-2,KND,-,-,-,-27,1,2 BREAK
Purge Slam,f+2+4,high throw,2,-,-,-,-,-,-,35,i15,0,KND,-,-,-,-32,3,2 BREAK
Blizzard Rush,"f, F+1+2",high throw,1.5,-,-,-,-,-,FLOOR BREAK,45,i12,-6,KND,-,-,-,-26,1,1+2 BREAK
Ambush Tackle,d/b+1+2,mid throw,2,-,SSL / SSR,-,-,-,-,5,i26,-5 (BT),KND,-,-,-,-32,1,2 BREAK
Frost Bite,(During Ambush Tackle) 1,-,-,-,-,-,-,-,-,30,-,-,KND,-,-,-,-,-,1 BREAK
Achilles' Hold,(During Ambush Tackle) 2,-,-,-,-,-,-,-,-,30,-,-,KND,-,-,-,-,-,2 BREAK
Iron Curtain,(During Ambush Tackle) 1+2,-,-,-,-,-,-,-,-,35,-,-,KND,-,-,-,-,-,1+2 BREAK
Tarantula Sting,Approach from left side... 1+3 (or 2+4),-,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-24,3,1 BREAK
Reverse Fracture,Approach from right side... 1+3 (or 2+4),-,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-24,3,2 BREAK
Absolute Silence,Approach from behind... 1+3 (or 2+4),-,-,-,-,-,-,-,-,50,i12,-3,KND,-,-,-,-24,3,2 BREAK
Cold Fate,Approach crouching enemy... d+1+3 (or d+2+4),-,-,-,-,-,-,-,-,45,i13,0,KND,-,-,-,-27,2,1 BREAK
Running Tackle*,"WR f, f, F (Mid Screen)",mid throw,0,-,SSL / SSR,high,-,-,-,5,i16,-5 (BT),KND,-,-,-,-32,1,-
SPECIAL,,,,,,,,,,,,,,,,,,,
Sneak*,qcf,-,-,-,-,high,-,-,-,-,-,-,-,-,-,-,-,-,-
Pit Fall,Time with enemy low attack... d/f+1+2,-,-,-,-,-,-,-,-,"7, 25",-,-,-,-,-,-,-24,-,-
Red Alert,Time with enemy high attack... b+1+3 (or b+2+4),-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-34,-,-
Red Alert,Time with enemy mid attack... b+1+3 (or b+2+4),-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-34,-,-
GENERIC JUMP ATTACKS,,,,,,,,,,,,,,,,,,,
*,u/f~1,mid,0.25,0.25,-,low,-,-,-,12 (14),i20,-5,+6,+6,-,-,-23,1,-
*,"u/f, n~1",mid,0.25,0.25,-,low,-,-,-,12 (14),i27,-3,+8,+8,-,-,-21,1,-
*,"u/f, n, 1",mid,0.25,0.5,-,low,-,-,-,12 (14),i32,-6,+5,+5,-,-,-24,1,-
*,"U/F, 1",mid,0.25,0.25,-,low,-,-,-,12 (14),i11,-9,+2,+2,-,-,-26,2,-
*,u/f~2,mid,0.5,0.5,-,low,-,-,-,12 (14),i39,-15,-4 (OC),-4 (OC),-,-,-33,1,-
*,"U/F, 2",mid,0.5,0.5,-,low,-,-,-,18 (21),i11,-23,-12 (OC),-12 (OC),-,-,-39,3,-
*,u/f~3,mid,1.5,1.5,-,low,-,-,WALL BREAK / SPLAT,25 (30),i34,-16,KND,KND,-,-,-34,1,-
*,"u/f, 3",mid,1.5,1.5,-,low,-,-,WALL BREAK / SPLAT,25 (30),i40,-16,KND,KND,-,-,-37,1,-
*,U/F~3,mid,1.5,1.5,-,low,-,-,-,25 (30),i14,-19,STUN,KND,-,-,-38,1,-
*,"U/F, 3",low,1,1,-,high,-,-,-,15 (18),i15,-15,+6,+6,-,-,-33,1,-
*,u/f~4,mid,0.5,1,-,low,-,-,WALL SPLAT,25 (30),i29,-13,LAUNCH,LAUNCH,-,-,-27,3,-
*,U/F~4,mid,0.5,0.5,-,low,-,-,-,25 (30),i8,-8,+3,+3,-,-,-25,2,-
*,"U/F, 4",mid,0.5,1.5,-,low,-,-,-,25 (30),i9,-10,+1,+1,-,-,-27,2,-
