MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,AIR,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,ON WHIFF,ACTIVE,NOTES
Handstand Tilt,"HSP u, n (or d, n)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drop Kick,"HSP u, n, 3 (or u, n, 4)",low,-,-,-,high,-,-,-,-,25 [30],i36,-45,KND,KND,-,-,-
Straight Flop,HSP u+3 (or u+4),mid,-,-,-,-,-,-,-,-,10 [12],i16,-18,-7,KND,-,-,-
INTO NEGATIVA,,,,,,,,,,,,,,,,,,
-,HSP N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Negativa,d+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Jab to Island Mirage to Negativa,"1, 3, D","high, mid",-,-,-,-,-,-,-,-,"7 [8], 15",i10,-12,-1,-,-,-,-
Slippery Kick,3~4,"low, low",-,-,-,high,-,-,-,-,"10 [12], 10",i29,-24,LAUNCH,LAUNCH,-,-,-
Slippery Kick to Heran Bago,"3~4, 3","low, low, mid",-,-,-,high*,-,-,-,-,"10 [12], 10, 14",i29,-24,KND,-,-,-,-
Satellite Moon Hot Plate Special,"4~3, 3","mid, mid",-,-,-,high*,-,-,-,-,"16 [19], 17",i19,-5,+6,-,-,-,-
-,"(4~3), 3",mid,-,-,-,high*,-,-,-,-,17 [20],i30,-5,+6,KND,-,-,-
Back Summy to Firekick,"u+4, 3",low,-,-,-,"low*, high*",-,-,-,-,20 [24],i44,+4,KND,KND,-,-,-
Firekick to Negativa,"u+3+4, D",mid,-,-,-,low,-,-,-,-,15 [18],i20,-21,+4,+4,-,-,-
Jumping Jacks to Negativa,"u/f+3, D",mid,-,-,-,low,-,-,-,-,25 [30],i26,-14,-12,-12,-,-,-
Jumping Jacks Evil Stinger,"u/f+3, 3+4","mid, low",-,-,-,high,-,-,-,-,"25 [30], 15",i26,-14,KND,-,-,-,-
-,"(u/f+3), 3+4",low,-,-,-,high,-,-,-,-,15 [18],i22,-14,KND,KND,-,-,-
Samba Slippery Kick,"f+4, 3+4","mid, low, low",-,-,-,high,-,-,-,-,"10 [12], 10, 10",i23,-24,STUN,-,-,-,-
-,"(f+4), 3+4","low, low",-,-,-,high,-,-,-,-,"10 [12], 10",i22,-24,STUN,STUN,-,-,-
Lunging Brush Fire to Negativa,"f, F+3, D",mid,-,-,-,low,-,-,-,-,30 [36],i24,-3,KND,KND,-,-,-
Cartao Vermelho,"f, f, f+3 (or WR 3)",low,-,-,-,high,-,-,-,-,18 [21],i24,-24,+6 (OC),STUN,-,-,-
Island Mirage to Negativa,"d/f+3, D",mid,-,-,-,-,-,-,-,-,15 [18],i15,-12,-1,-1,-,-,-
Palmares Giro,"d+2, 3","mid, mid",-,-,-,-,-,-,-,-,"11 [13], 18",i17,-5,+14 (OC),-,-,-,-
-,"(d+2), 3",mid,-,-,-,-,-,-,-,-,18 [21],i23,-5,+14 (OC),KND,-,-,-
Heran Bago to Negativa,d+3~3,mid,-,-,-,high,-,-,-,-,21 [25],i20,-14,LAUNCH,LAUNCH,-,-,-
Rasteira Hot Plate Special,"d/b+3, n, 3","low, mid",-,-,-,high,-,-,-,-,"10 [12], 17",i23,-5,+6,-,-,-,-
-,"(d/b+3), n, 3",mid,-,-,-,high,-,-,-,-,17 [20],i27,-5,+6,KND,-,-,-
Rasteira to Heran Bago,"d/b+3, d/b+4, 3","low, mid",-,-,-,high,-,-,-,-,"10 [12], 21",i23,-14,LAUNCH,-,-,-,-
-,"(d/b+3), (d/b+4), 3",mid,-,-,-,high,-,-,-,-,21 [25],i45,-14,LAUNCH,LAUNCH,-,-,-
Knee Thruster to Heran Bago,"b+3, 3","mid, mid",-,-,-,high*,-,-,-,-,"10 [12], 21",i13,-14,LAUNCH,-,-,-,-
-,"(b+3), 3",mid,-,-,-,high*,-,-,-,-,21 [25],i26,-14,LAUNCH,LAUNCH,-,-,-
Armada to Macacao to Negativa,"b+4, 4, D","high, mid, mid",-,-,-,-,-,-,-,-,"17 [20], 7, 17",i20,-16,KND,-,-,-,-
-,"(b+4), 4, D","mid, mid",-,-,-,-,-,-,-,-,"7 [8], 17",i29,-16,KND,KND,-,-,-
Front Stinger to Negativa,"FC 3+4, D",mid,-,-,-,-,-,-,-,-,18 [21],i22,-17,+11 (OC),KND,-,-,-
Bananeira Rolante,FC d/f+4,low,-,-,-,high,-,-,-,-,19 [22],i24,-26,+4 (OC),STUN,-,-,-
Hot Plate Special,SS 3,mid,-,-,-,high,-,-,-,-,17 [20],i25,-5,+6,KND,-,-,-
Hot Plate Special Cancel to Negativa,"SS 3, D",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Twister Front Stinger to Negativa,"SS 4, 3+4, D","low, low, mid",-,-,-,low*,-,-,-,-,"10 [12], 7, 18",i21,-8,+11 (OC),-,-,-,-
-,"SS 3+4, 3+4, 3+4, u/f+3+4, D","high, mid, mid, mid, mid",-,-,-,-,-,-,-,-,"6 [7], 6, 17, 10, 8",i13,-26,KND,KND,-,-,-
Cotovelo to Ponteira,"WS 1, 3","high, mid",-,-,-,high*,-,-,-,-,"7 [8], 20",i13,-14,LAUNCH,-,-,-,-
-,"WS (1), 3",mid,-,-,-,high*,-,-,-,-,20 [24],i19,-14,LAUNCH,LAUNCH,-,-,-
Hot Plate Special,HSP 3,mid,-,-,-,high,-,-,-,-,17 [20],i32,-5,-14,-,-,-,-
Slippery Kick,HSP 3~4,"low, low",-,-,-,high,-,-,-,-,"10 [12], 10",i27,-24,STUN,STUN,-,-,-
Helicopter to Slippery Kick,"HSP 4, 3+4","mid, mid, low, low",-,-,-,high,-,-,-,-,"5 [6], 20, 6, 4",i12,-24,STUN,-,-,-,-
-,"HSP (4), 3+4",-,-,-,-,-,-,-,-,-,-,i27,-24,STUN,STUN,-,-,-
Tilt Twist Sweep,"HSP u+3, D (or u+4, D)",-,-,-,-,-,-,-,-,-,-,i16,-2,+9,KND,-,-,-
Scoot Kick,HSP b+3,-,-,-,-,-,-,-,-,-,-,i22,-14,+7,+7,-,-,-
-,"RLX 1, 3, D","low, high",-,-,-,-,-,-,-,-,"10 [12], 15",i17,-31,-1,-,-,-,-
-,"RLX (1), 3, D",high,-,-,-,-,-,-,-,-,15 [18],i27,-31,-1,-1,-,-,-
DURING NEGATIVA,,,,,,,,,,,,,,,,,,
Side Roll to Sit,RLX U (or D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,RLX B or F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,RLX 1,low,-,-,-,high,-,-,-,-,10 [12],i17,-12,-1,-1,-,-,-
Negativa to Armada Combo,"RLX 1, 4","low, high",-,-,-,-,-,-,-,-,"10 [12], 15",i17,-6,+6,-,-,-,-
-,"RLX (1), 4",high,-,-,-,-,-,-,-,-,15 [18],i29,-6,+6,STUN,-,-,-
-,RLX 2,mid,-,-,-,high,-,-,-,-,15 [18],i21,-6,+5,+5,-,-,-
Negativa to Flare Combo,"RLX 2, 3","mid, mid",-,-,-,-,-,-,-,-,"15 [18], 15",i21,-13,LAUNCH,-,-,-,-
-,"RLX (2), 3",mid,-,-,-,-,-,-,-,-,15 [18],i23,-13,LAUNCH,LAUNCH,-,-,-
Negativa to Lunging Brush Fire Combo,"RLX 2, f+3","mid, mid",-,-,-,low,-,-,-,-,"15 [18], 30",i21,-14,KND,-,-,-,-
-,"RLX (2), f+3",mid,-,-,-,low,-,-,-,-,30 [36],i25,-14,KND,KND,-,-,-
Negativa to Au Batido,"RLX 2, 4","low, mid",-,-,-,-,-,-,-,-,"15 [18], 10",i21,-22,-11,-,-,-,-
-,"RLX (2), 4",mid,-,-,-,-,-,-,-,-,10 [12],i28,-22,-11,-11,-,-,-
-,RLX 3,low,-,-,-,high,-,-,-,-,12 [14],i16,-15,+1,+1,-,-,-
Rio Delight Knee Slicer,"RLX 3, n, 4","low, mid",-,-,-,low,-,-,-,-,"12 [14], 28",i16,-6,KND,-,-,-,-
-,"RLX (3), n, 4",mid,-,-,-,low,-,-,-,-,28 [33],i27,-6,KND,KND,-,-,-
S-Dobrado,RLX 3~4,mid,-,-,-,high,-,-,-,-,20 [24],i17,-24,LAUNCH,LAUNCH,-,-,-
-,RLX 4,mid,-,-,-,high,-,-,-,-,17 [20],i15,-13,+14,+14,-,-,-
Knee Slicer Low Front Stinger,"RLX 4, 3+4","mid, mid",-,-,-,low*,-,-,-,-,"17 [20], 18",i15,-7,KND,-,-,-,-
-,"RLX (4), 3+4",mid,-,-,-,low*,-,-,-,-,20 [24],i35,-7,KND,KND,-,-,-
Low Front Stinger,RLX 3+4,mid,-,-,-,low*,-,-,-,-,20 [24],i35,-7,KND,KND,-,-,-
Mola Vermelha,RLX f+3+4,mid,-,-,-,low,-,-,-,-,20 [24],i18,-12,KND,KND,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,
Queixada,u/b+3,mid,-,-,-,-,-,-,-,-,30 [36],i31,-2 (OC),+6 (OC),+6 (OC),-,-,-
Faisao,HSP 1,mid,-,-,-,-,-,-,-,-,20 [24],i23,-12,KND,KND,-,-,-
RAGE MOVES,,,,,,,,,,,,,,,,,,
Rage Art,(During Rage) b+3+4,mid,-,-,-,-,-,-,-,-,55 [57],i20,-22,KND,KND,-,-,-
Rage Drive,"(During Rage) f, F+3+4","mid, mid",-,-,-,high*,-,-,-,-,"12 [14], 20",i15,+12,S!,-,-,-,-
-,"(During Rage) f, F+3+4 (second hit only)",mid,-,-,-,-,-,-,-,-,20 [24],i48,+12,S!,S!,-,-,-
UNBLOCKABLE MOVES,,,,,,,,,,,,,,,,,,
Fruit Picker,"b, B+2+3 (b, b to cancel)","mid!, high!",-,-,-,-,-,-,-,-,"40 [48], 40",i76,!,KND,KND,-,-,-
THROWS,,,,,,,,,,,,,,,,,,
Rio Deal,Approach enemy... 1+3,high,-,-,-,-,-,-,-,-,35,i12,-8,KND,-,-,-,-
Rio Special,Approach enemy... 2+4,high,-,-,-,-,-,-,-,-,35,i12,-6,KND,-,-,-,-
Rio Deal,Approach enemy... f+1+3,high,-,-,-,-,-,-,-,-,35,i15,-8,KND,-,-,-,-
Rio Special,Approach enemy... f+2+4,high,-,-,-,-,-,-,-,-,35,i15,-6,KND,-,-,-,-
Cabra Macaco Throw,Approach enemy... d/f+1+2,high,-,-,-,-,-,-,-,-,40,i11,-6,KND,-,-,-,-
Rodeo Spin,Approach enemy... hcf+1+2,high,-,-,-,-,-,-,-,-,50,i11,-6,KND,-,-,-,-
Missile Launcher,Approach from left side... 1+3 (or 2+4),high,-,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-
Shadow Dancer,Approach from right side... 1+3 (or 2+4),high,-,-,-,-,-,-,-,-,42,i12,-3,KND,-,-,-,-
Back Rodeo Spin,Approach from behind... 1+3 (or 2+4),high,-,-,-,-,-,-,-,-,60,i12,-,KND,-,-,-,-
Adeus,Approach crouching enemy... d+1+3 (or d+2+4),mid,-,-,-,-,-,-,-,-,45,i13,-2,KND,-,-,-,-
-,"WR f, f, F (Mid Screen)",mid,-,-,-,-,-,-,-,-,5,i16,-5 (BT),KND,-,-,-,-
DURING TACKLE,,,,,,,,,,,,,,,,,,
-,(During Tackle) 1 (or 2),-,-,-,-,-,-,-,-,-,5,-,-,KND,-,-,-,-
-,"(During Tackle) 1/2, 1/2",-,-,-,-,-,-,-,-,-,"5, 5",-,-,KND,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,-,"5, 5, 5",-,-,KND,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,-,"5, 5, 5, 15",-,-,KND,-,-,-,-
